date,flow
2/1/1985,873.2520422
2/2/1985,873.2520422
2/3/1985,873.2520422
2/4/1985,873.2520422
2/5/1985,873.2520422
2/6/1985,873.2520422
2/7/1985,873.2520422
2/8/1985,873.2520422
2/9/1985,873.2520422
2/10/1985,873.2520422
2/11/1985,873.2520422
2/12/1985,873.2520422
2/13/1985,873.2520422
2/14/1985,873.2520422
2/15/1985,873.2520422
2/16/1985,873.2520422
2/17/1985,873.2520422
2/18/1985,873.2520422
2/19/1985,873.2520422
2/20/1985,873.2520422
2/21/1985,873.2520422
2/22/1985,873.2520422
2/23/1985,873.2520422
2/24/1985,873.2520422
2/25/1985,873.2520422
2/26/1985,873.2520422
2/27/1985,873.2520422
2/28/1985,873.2520422
3/1/1985,873.2520422
3/2/1985,873.2520422
3/3/1985,873.2520422
3/4/1985,873.2520422
3/5/1985,873.2520422
3/6/1985,873.2520422
3/7/1985,873.2520422
3/8/1985,873.2520422
3/9/1985,873.2520422
3/10/1985,873.2520422
3/11/1985,873.2520422
3/12/1985,873.2520422
3/13/1985,873.2520422
3/14/1985,873.2520422
3/15/1985,873.2520422
3/16/1985,873.2520422
3/17/1985,873.2520422
3/18/1985,873.2520422
3/19/1985,873.2520422
3/20/1985,873.2520422
3/21/1985,873.2520422
3/22/1985,873.2520422
3/23/1985,873.2520422
3/24/1985,873.2520422
3/25/1985,873.2520422
3/26/1985,873.2520422
3/27/1985,873.2520422
3/28/1985,873.2520422
3/29/1985,873.2520422
3/30/1985,873.2520422
3/31/1985,873.2520422
4/1/1985,873.2520422
4/2/1985,873.2520422
4/3/1985,873.2520422
4/4/1985,873.2520422
4/5/1985,873.2520422
4/6/1985,873.2520422
4/7/1985,873.2520422
4/8/1985,873.2520422
4/9/1985,873.2520422
4/10/1985,873.2520422
4/11/1985,873.2520422
4/12/1985,873.2520422
4/13/1985,873.2520422
4/14/1985,873.2520422
4/15/1985,873.2520422
4/16/1985,873.2520422
4/17/1985,873.2520422
4/18/1985,873.2520422
4/19/1985,873.2520422
4/20/1985,873.2520422
4/21/1985,873.2520422
4/22/1985,873.2520422
4/23/1985,873.2520422
4/24/1985,873.2520422
4/25/1985,873.2520422
4/26/1985,873.2520422
4/27/1985,873.2520422
4/28/1985,873.2520422
4/29/1985,873.2520422
4/30/1985,873.2520422
5/1/1985,986.7748076
5/2/1985,1115.055533
5/3/1985,1260.012752
5/4/1985,1423.81441
5/5/1985,1608.910283
5/6/1985,1818.06862
5/7/1985,2054.41754
5/8/1985,2321.49182
5/9/1985,2623.285757
5/10/1985,2964.312905
5/11/1985,3349.673583
5/12/1985,3785.131149
5/13/1985,4277.198198
5/14/1985,4474.434711
5/15/1985,4474.434711
5/16/1985,4161.224281
5/17/1985,3869.938581
5/18/1985,3599.042881
5/19/1985,3347.109879
5/20/1985,3112.812187
5/21/1985,2894.915334
5/22/1985,2692.271261
5/23/1985,2503.812273
5/24/1985,2328.545414
5/25/1985,2165.547235
5/26/1985,2013.958928
5/27/1985,1872.981803
5/28/1985,1741.873077
5/29/1985,1619.941962
5/30/1985,1506.546024
5/31/1985,1401.087803
6/1/1985,1303.011656
6/2/1985,1211.80084
6/3/1985,1126.974782
6/4/1985,1048.086547
6/5/1985,974.7204886
6/6/1985,906.4900544
6/7/1985,843.0357506
6/8/1985,784.0232481
6/9/1985,729.1416207
6/10/1985,678.1017072
6/11/1985,630.6345877
6/12/1985,586.4901666
6/13/1985,545.4358549
